dataset,model,layer,target,alpha,pearsonr,pearsonr_nc,explained_variance,explained_variance_nc,encoding_rsa,encoding_cka
TVSD,Model B (Qwen3),features/language_model-layers-8,monkeyF/V4,100000.0,0.5040841087465098,0.5133876029106752,0.23881841259844272,0.24591135941390196,0.32121552361090205,0.4987481676310308
TVSD,Model B (Qwen3),features/language_model-layers-8,monkeyN/IT,100000.0,0.6005385764541155,0.6126232743051433,0.3228244610241175,0.33180463197280313,0.33031670220472387,0.6111012948969977
TVSD,Model B (Qwen3),features/language_model-layers-8,monkeyN/V1,100000.0,0.4875354047306896,0.4937693025666272,0.22159438038823762,0.2267935638733975,0.18304833399262904,0.45824462620106116
TVSD,Model B (Qwen3),features/language_model-layers-8,monkeyN/V4,100000.0,0.552388465629071,0.5643956537051319,0.283804784251214,0.29510098105003424,0.3863704998688773,0.49185189311017274
TVSD,Model B (Qwen3),features/visual-blocks-10,monkeyF/IT,100000.0,0.4535654243043294,0.46887095314159366,0.1752231126566376,0.1838373738438839,0.4283930061026167,0.4011472692960206
TVSD,Model B (Qwen3),features/visual-blocks-10,monkeyF/V1,100000.0,0.4879275864754654,0.5009303972268123,0.2236190243965914,0.23242834752274466,0.3311985508585112,0.4816410549978366
TVSD,Model B (Qwen3),features/visual-blocks-10,monkeyF/V4,100000.0,0.4745106285462569,0.48284956179140004,0.20983162473450837,0.21479546167578384,0.3030488209188439,0.4595535099183113
TVSD,Model B (Qwen3),features/visual-blocks-10,monkeyN/IT,100000.0,0.5647272453094895,0.576596790011755,0.2627745365713618,0.27119795132510804,0.3006252847181758,0.5555977400341517
TVSD,Model B (Qwen3),features/visual-blocks-10,monkeyN/V1,100000.0,0.506960161610227,0.5134138075485613,0.25022286041185726,0.25593425595019514,0.20925509160217787,0.47770127765105047
TVSD,Model B (Qwen3),features/visual-blocks-10,monkeyN/V4,100000.0,0.5236081518421466,0.5345226680235868,0.24667819171454464,0.25541682239533126,0.3411645183248822,0.47609294181246087
TVSD,Model B (Qwen3),features/visual-blocks-14,monkeyF/IT,100000.0,0.46049227025944384,0.47599300826350405,0.17951709455021964,0.18847367496224576,0.44211688161672685,0.42995291680894576
TVSD,Model B (Qwen3),features/visual-blocks-14,monkeyF/V1,100000.0,0.4482923647931809,0.4600807866224248,0.18423760548492527,0.19091021128777358,0.2751053616897186,0.4268019408093986
TVSD,Model B (Qwen3),features/visual-blocks-14,monkeyF/V4,100000.0,0.45021742099971035,0.4580797067904007,0.18835478073158743,0.19266374582102905,0.2761430819399649,0.4414975480100508
TVSD,Model B (Qwen3),features/visual-blocks-14,monkeyN/IT,100000.0,0.5541465503872036,0.5654175380325148,0.25079492013864924,0.2577304531666357,0.2740687825970384,0.5701291114273562
TVSD,Model B (Qwen3),features/visual-blocks-14,monkeyN/V1,100000.0,0.4592308439102442,0.4650123424960263,0.2023458345433608,0.20671982260144145,0.1727699436253049,0.4119450161369208
TVSD,Model B (Qwen3),features/visual-blocks-14,monkeyN/V4,100000.0,0.5019508551116251,0.5123910357902578,0.22470524002324313,0.23244818950128754,0.30432794843175837,0.4453233675548099
TVSD,Model B (Qwen3),features/visual-blocks-18,monkeyF/IT,100000.0,0.4819637140691495,0.4984573050310752,0.19886973679571215,0.21001461761861498,0.4561338170593797,0.4673780285549353
